"id","classification","score","title","description","topic_id","created_at","updated_at","privacy_related","docbot_regex"
175,"good",50,"You can delete your content from this service","You can ask the service to remove your content at any time, and it's deleted within a reasonable time.",45,"2018-01-16 15:26:09.45258","2021-02-27 14:23:56.238878",NULL,""
130,"bad",50,"A license is kept on user-generated content even after you close your account","The service may still use your content and display it after you stopped using it by closing your account. The case applies to terms requiring users to grant them a perpetual license over that content.
",30,"2018-01-16 15:26:08.38805","2021-05-06 08:26:06.196896",True,""
129,"bad",60,"This service tracks you on other websites","The service may use tracking technologies in third-party websites to track your online activity while you aren't visiting their Site.
",25,"2018-01-16 15:26:08.370367","2021-02-24 22:56:35.859683",True,""
237,"neutral",0,"You agree to comply with the law of the service's country","By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",28,"2018-07-22 09:09:08.496243","2021-05-06 08:35:07.855459",NULL,""
173,"bad",25,"This service retains rights to your content even after you stop using your account","The service may still use your content and display it after you stopped using it by closing your account, since you granted them a perpetual or (in some cases) an unlimited license over that content.",45,"2018-01-16 15:26:09.415729","2021-02-27 15:51:22.50162",NULL,""
169,"neutral",0,"The service is transparent regarding government requests or inquiries that may involve your data.","Weight was 30.",55,"2018-01-16 15:26:09.320369","2021-05-06 08:36:09.133455",NULL,""
133,"bad",80,"very broad","",55,"2018-01-16 15:26:08.468309","2020-11-12 04:15:01.495937",NULL,NULL
162,"neutral",50,"The service has a no refund policy","Payments are final and can't be refunded unless required by law.",54,"2018-01-16 15:26:09.166124","2021-03-27 16:43:06.005944",NULL,"^(((?=.*non-refundable))|((?=.*not )((?=.*refundable))|(?=.*no )(?=.*refund)))"
171,"good",90,"Features of the website are made available under a free software license","This case applies to services under licenses that are free as in ""freedom"". According to the Free Software Foundation, ""free software is the software that grants the user the freedom to share, study, and modify it"". Furthermore, the code is entirely open source and may be used without any restriction, including for commercial purposes.",36,"2018-01-16 15:26:09.366216","2021-05-04 17:54:43.907823",NULL,""
238,"neutral",0,"You agree not to submit illegal content","",55,"2018-07-22 09:13:18.812569","2021-05-06 08:37:17.162571",NULL,""
138,"neutral",10,"Instructions are provided on how to submit a copyright claim","If content that you own is copied or made accessible through the service in a way that constitutes an intellectual property right infringement, you can report it following the instructions given in the agreements. ",30,"2018-01-16 15:26:08.602556","2021-05-06 08:26:25.934688",NULL,""
168,"neutral",0,"The service is not transparent regarding government requests or inquiries that may involve your data. ","Weight was 30.",55,"2018-01-16 15:26:09.284499","2021-05-06 08:34:07.393119",NULL,""
136,"neutral",50,"The copyright license that you grant this service is limited to the parties that make up the service's broader platform.","",30,"2018-01-16 15:26:08.563886","2021-05-06 08:35:01.322416",NULL,""
132,"bad",50,"The copyright license maintained by the service over your data and/or content is broader than necessary.","",55,"2018-01-16 15:26:08.435933","2021-05-06 08:49:47.774993",NULL,""
122,"neutral",0,"The terms may be changed at any time, but you will receive notification of the changes","The Terms may be updated without prior notice, but users will be notified of the changes at the moment they will start applying.",46,"2018-01-16 15:26:08.192931","2021-05-07 16:23:11.148598",NULL,""
276,"neutral",40,"The service can intervene in user disputes","If you have a dispute with another user on this service, they can review the issue and intervene. However, they don't have an obligation to do so.

",31,"2018-08-16 14:20:48.892529","2018-08-16 14:20:48.892529",NULL,NULL
235,"neutral",0,"none","Do not select this case, because points with this case will not show up on tosdr.org",53,"2018-07-11 09:35:12.069597","2019-04-01 07:00:21.112429",NULL,NULL
229,"neutral",10,"You cannot distribute or disclose your account to third parties","In this context third-parties refers to anyone including friends, family, or company ",36,"2018-01-16 15:26:10.661374","2020-10-19 20:27:50.912521",NULL,NULL
179,"bad",50,"This service takes credit for your content","",27,"2018-01-16 15:26:09.544495","2018-07-19 05:51:47.534373",NULL,NULL
154,"neutral",0,"This service cannot be held responsible for disputes that you may have with other users","You are responsible for the interactions and the disputes that may occur with other users of the Service. In the event of a dispute, you release the Service from all claims resulting from it.",31,"2018-01-16 15:26:09.027329","2021-02-28 12:00:09.055205",NULL,""
149,"bad",10,"Any liability on behalf of the service is only limited to the fees you paid as a user","",31,"2018-01-16 15:26:08.856023","2021-05-31 20:20:11.273529",NULL,"^(((?=.*liability)|(?=.*not be liable))(((?=.*exceed)(?=.*paid))|(?=.*paid by you)|(?=.*paid by the user)|(?=.*you paid us)|(?=.*you have paid to us)))"
134,"bad",50,"Your content can be licensed to third parties","By posting content through the Services, users grant them a transferable and/or sublicensable right, which allows user content to be licensed to third parties.",30,"2018-01-16 15:26:08.502469","2021-06-05 18:04:47.563378",True,""
408,"neutral",10,"This service informs you that its Terms of Service does not apply to third party websites","The service states that whenever it links to third party websites or applications, its Terms of Service does not apply. Those third party websites or applications hosted or operated by other organizations may have their Terms of Service.",36,"2021-02-27 09:40:23.541271","2021-06-05 18:05:00.172695",NULL,""
